,word,cluster
0,Chasney,Chansey
1,Nidqueen,Nidoqueen
2,GAstly,Gastly
3,Vulpix,Vulpix
4,Gasly,Gastly
5,Kotfing,Koffing
6,Diglett,Diglett
7,Kakuna,Kakuna
8,Sandslahs,Sandslash
9,Aeordactyl,Aerodactyl
10,Prmieape,Primeape
11,TaurosQz,Tauros
12,uk,Muk
13,Clefable,Clefable
14,Golducck,Golduck
15,Zapdos,Zapdos
16,Mr Mime,Mr Mime
17,Articuo,Articuno
18,Krabb y,Krabby
19,Rapidash,Rapidash
20,VoltorbZhSqvy,Voltorb
21,GGraveler,Graveler
22,RRaticate,Raticate
23,Electabuz,Electabuzz
24,CharmeleonNJiR,Charmeleon
25,eWedle,Weedle
26,Rhydom,Rhydon
27,Liciktung,Lickitung
28,DSlowbro,Slowbro
29,Metapod#,Metapod
30,Odddish,Oddish
31,Wigglytuff+,Wigglytuff
32,Eevsee,Eevee
33,Caterp8e,Caterpie
34,Cagterpie,Caterpie
35,VVenusaur,Venusaur
36,Cloyter,Cloyster
37,Venusaurd,Venusaur
38,Ra8chu,Raichu
39,Me,Mew
40,MACHOKE,Machoke
41,Vulpix,Vulpix
42,Mewgtwo,Mewtwo
43,JJolteon,Jolteon
44,Mr ime,Mr Mime
45,Seadea,Seadra
46,Magmare,Magmar
47,Machpke,Machoke
48,Cledfairy,Clefairy
49,BEEDRILL,Beedrill
50,Cubnoe,Cubone
51,KinglercnQhOL,Kingler
52,Diglett,Diglett
53,WigglytuffAOzEZJ,Wigglytuff
54,Gloim,Gloom
55,NIDORINO,Nidorino
56,Pikachu#,Pikachu
57,Koffing,Koffing
58,Pidegot,Pidgeot
59,EEVEE,Eevee
60,Gloom,Gloom
61,Bellsprout+,Bellsprout
62,Koffing,Koffing
63,voltorb,Voltorb
64,Exeggutor,Exeggutor
65,GYarados,Gyarados
66,Anorlax,Snorlax
67,Venusaur#,Venusaur
68,MEw,Mew
69,Jiggglypuff,Jigglypuff
70,Horseea,Horsea
71,Graveleer,Graveler
72,Weedcle,Weedle
73,Hauter,Haunter
74,Squritle,Squirtle
75,Voltorgb,Voltorb
76,Dagonair,Dragonair
77,Doduo+,Doduo
78,olduck,Golduck
79,Ekanss,Ekans
80,Pidegot,Pidgeot
81,Electabuzz#,Electabuzz
82,WeepinbelluPhn,Weepinbell
83,Growlithe,Growlithe
84,Parass,Paras
85,Cloystzer,Cloyster
86,bra,Abra
87,Vaporeno,Vaporeon
88,Horsea#,Horsea
89,KabutoQe,Kabuto
90,Rhysdon,Rhydon
91,Raicu,Raichu
92,Hitmonlee+,Hitmonlee
93,WeepinbellpwmRsYuC,Weepinbell
94,Cjhansey,Chansey
95,Cloysterlm,Cloyster
96,Tentacrruel,Tentacruel
97,Voltorhb,Voltorb
98,Hitmonchan,Hitmonchan
99,MAchamp,Machamp
100,Poliwag,Poliwag
101,Poliwag,Poliwag
102,Magikarp,Magikarp
103,PonytabDnBp,Ponyta
104,Bulbasuar,Bulbasaur
105,HitmonchandbqgmEv,Hitmonchan
106,Caterpie+,Caterpie
107,MukVAhwMS,Muk
108,Gengarr,Gengar
109,Nidiorina,Nidorina
110,Dagonair,Dragonair
111,Caterppie,Caterpie
112,Oddihs,Oddish
113,Staryu#,Staryu
114,Parasect,Parasect
115,Chrameleon,Charmeleon
116,GGeodude,Geodude
117,Hitmonlee#,Hitmonlee
118,Mabuto,Kabuto
119,Rtatata,Rattata
120,Tentacruelb,Tentacruel
121,Haunte4r,Haunter
122,Golduck#,Golduck
123,Nidornio,Nidorino
